team,champion_probability,monte_carlo_se
Spain,0.13788,0.0010902710928938728
Argentina,0.12865,0.001058768990384588
France,0.07979,0.0008568754629466291
Brazil,0.06465,0.0007776270153486181
England,0.05389,0.0007140438915080781
Portugal,0.04446,0.0006517922092200858
Colombia,0.04414,0.0006495510788229052
Germany,0.04303,0.0006417041304214895
Ecuador,0.03851,0.0006084979860278914
Netherlands,0.03774,0.0006026250276913497
Turkey,0.03017,0.0005409230176282019
Mexico,0.02745,0.0005166865345642366
Croatia,0.02473,0.0004911051526913559
Japan,0.02465,0.0004903302713477927
Norway,0.02229,0.000466831403185347
Switzerland,0.02176,0.00046137297710204054
Uruguay,0.01843,0.0004253273456997563
Belgium,0.01839,0.0004248741919674576
Morocco,0.01649,0.00040271677268273795
Senegal,0.01558,0.00039162818591107564
Canada,0.01442,0.00037698890699860125
Czech Republic,0.01333,0.0003626611517656668
Paraguay,0.01226,0.00034798983318482164
South Korea,0.01047,0.00032187542776670607
Scotland,0.00985,0.0003122975744382271
Austria,0.0069,0.00026177070118712674
Australia,0.00666,0.00025720895007755854
Iran,0.00452,0.00021212188948809596
Panama,0.00373,0.00019277155132435905
Sweden,0.00355,0.00018807970384919262
United States,0.00341,0.00018434673579968808
Uzbekistan,0.0032,0.00017859899215841058
Algeria,0.00292,0.00017063040760661622
Bosnia and Herzegovina,0.00232,0.00015213867358433226
Tunisia,0.00198,0.00014057309842213767
Ivory Coast,0.00198,0.00014057309842213767
South Africa,0.0014,0.00011823874153592807
Egypt,0.00116,0.00010764081010471818
Jordan,0.00097,9.844079946851306e-05
DR Congo,0.0008,8.940693485407046e-05
Qatar,0.00045,6.706694416774929e-05
Haiti,0.0004,6.323290282756281e-05
Iraq,0.00018,4.242258832273203e-05
Saudi Arabia,0.00017,4.122755146743498e-05
Cape Verde,0.00013,3.605316907013862e-05
New Zealand,0.00012,3.4638937628050894e-05
Ghana,4e-05,1.9999599995999918e-05
