team,champion_probability,monte_carlo_se
Argentina,0.1651,0.0011740612846014471
Spain,0.13508,0.0010808949699207596
France,0.08811,0.0008963628054532383
England,0.06032,0.0007528711549793896
Portugal,0.05397,0.0007145434843310797
Germany,0.05105,0.0006960165048330391
Brazil,0.04944,0.0006855339991568616
Colombia,0.04912,0.0006834268475850213
Netherlands,0.04207,0.0006348237164756843
Norway,0.03911,0.0006130286118934417
Japan,0.03647,0.0005927894997383136
Mexico,0.02518,0.0004954388721123929
Croatia,0.02503,0.0004939989787438836
Morocco,0.02455,0.0004893597602991076
Canada,0.01942,0.00043638129657445223
South Korea,0.01913,0.0004331748272926302
Switzerland,0.01822,0.0004229424499858107
United States,0.01478,0.00038159601150955443
Uruguay,0.01214,0.0003463036297817278
Scotland,0.00887,0.0002965016542955536
Belgium,0.00802,0.0002820581429421955
Australia,0.00757,0.00027409296050792697
Paraguay,0.00624,0.00024901932455132875
Senegal,0.00614,0.0002470283465515648
Ecuador,0.00614,0.0002470283465515648
Austria,0.00605,0.00024522229711019345
Ivory Coast,0.0046,0.00021398224225388423
Algeria,0.00397,0.00019885268668036647
Egypt,0.0032,0.00017859899215841058
Sweden,0.00311,0.0001760774801046403
Iran,0.0028,0.0001670975762840383
South Africa,0.00273,0.00016500142726655426
Czech Republic,0.00098,9.894642995075668e-05
Bosnia and Herzegovina,0.0004,6.323290282756281e-05
DR Congo,0.00029,5.3843839016177145e-05
Ghana,0.00019,4.358484828469637e-05
Cape Verde,0.00018,4.242258832273203e-05
Uzbekistan,9e-05,2.9998649969623634e-05
Saudi Arabia,8e-05,2.8283139853983683e-05
Curacao,4e-05,1.9999599995999918e-05
New Zealand,2e-05,1.4141994201667599e-05
