team,Group_stage,Round_of_32,Round_of_16,Quarterfinals,Semifinals,Fourth_place,Third_place,Second_place,Champion
Algeria,0.47809,0.38098,0.07812,0.04256,0,0.00806,0.00461,0.00466,0.00292
Argentina,0.01333,0.26631,0.1203,0.14531,0,0.09762,0.11271,0.11577,0.12865
Australia,0.34276,0.33794,0.20551,0.07334,0,0.01445,0.01006,0.00928,0.00666
Austria,0.25375,0.54249,0.10633,0.05615,0,0.01427,0.01036,0.00975,0.0069
Belgium,0.07797,0.32908,0.33061,0.17167,0,0.02569,0.02528,0.02131,0.01839
Bosnia and Herzegovina,0.45967,0.42685,0.06102,0.0389,0,0.00516,0.00353,0.00255,0.00232
Brazil,0.01587,0.33615,0.25432,0.15208,0,0.05538,0.05428,0.06727,0.06465
Canada,0.04408,0.45155,0.26629,0.1567,0,0.02877,0.01909,0.0191,0.01442
Cape Verde,0.76092,0.2068,0.01997,0.00997,0,0.00124,0.00046,0.00051,0.00013
Colombia,0.04956,0.33556,0.29969,0.14397,0,0.04058,0.04453,0.04197,0.04414
Croatia,0.05243,0.49646,0.22704,0.11299,0,0.02979,0.02794,0.02862,0.02473
Curacao,0.93156,0.05853,0.00816,0.00152,0,0.0001,1e-05,0.00012,0.0
Czech Republic,0.14687,0.43789,0.23229,0.11584,0,0.02075,0.01549,0.01754,0.01333
DR Congo,0.75119,0.19492,0.03339,0.01336,0,0.00295,0.00211,0.00128,0.0008
Ecuador,0.01464,0.37983,0.30798,0.14144,0,0.03789,0.03795,0.04176,0.03851
Egypt,0.46401,0.3528,0.13138,0.0394,0,0.00609,0.0029,0.00226,0.00116
England,0.011,0.29282,0.32171,0.17407,0,0.04559,0.04581,0.05511,0.05389
France,0.01229,0.21362,0.35828,0.18739,0,0.03706,0.05599,0.05558,0.07979
Germany,0.00859,0.35736,0.32162,0.14674,0,0.03876,0.04036,0.04354,0.04303
Ghana,0.89398,0.09732,0.00619,0.0016,0,0.00045,0.00029,0.00013,4e-05
Haiti,0.84872,0.12991,0.01266,0.00615,0,0.00088,0.00051,0.00077,0.0004
Iran,0.16937,0.45294,0.26142,0.08212,0,0.01396,0.00865,0.00702,0.00452
Iraq,0.84178,0.12865,0.02166,0.00587,0,0.0008,0.00033,0.00073,0.00018
Ivory Coast,0.55375,0.29169,0.10437,0.03466,0,0.00559,0.00268,0.00528,0.00198
Japan,0.14963,0.45527,0.19049,0.0987,0,0.0273,0.02526,0.0287,0.02465
Jordan,0.55097,0.35307,0.0557,0.02941,0,0.00525,0.00275,0.00188,0.00097
Mexico,0.03427,0.33331,0.32389,0.17752,0,0.03756,0.02959,0.03641,0.02745
Morocco,0.12936,0.52332,0.17149,0.09374,0,0.02379,0.01861,0.0232,0.01649
Netherlands,0.08109,0.40565,0.23875,0.1278,0,0.03447,0.0359,0.0386,0.03774
New Zealand,0.63683,0.28435,0.05996,0.01613,0,0.00175,0.00049,0.00037,0.00012
Norway,0.22099,0.37226,0.20983,0.09773,0,0.02553,0.02289,0.02848,0.02229
Panama,0.33617,0.50068,0.09237,0.0446,0,0.00968,0.00743,0.00534,0.00373
Paraguay,0.28965,0.30135,0.24201,0.1038,0,0.0201,0.0165,0.01433,0.01226
Portugal,0.02168,0.27749,0.32931,0.19386,0,0.04349,0.04436,0.04535,0.04446
Qatar,0.79499,0.18331,0.01123,0.00793,0,0.00079,0.00065,0.00065,0.00045
Saudi Arabia,0.64192,0.30683,0.03174,0.01561,0,0.00199,0.00056,0.00118,0.00017
Scotland,0.30214,0.45434,0.12523,0.06713,0,0.01553,0.01192,0.01386,0.00985
Senegal,0.17509,0.44738,0.20602,0.09444,0,0.02187,0.0176,0.02202,0.01558
South Africa,0.82357,0.12738,0.03051,0.01138,0,0.00212,0.00176,0.00188,0.0014
South Korea,0.34529,0.33025,0.18139,0.08959,0,0.01661,0.012,0.0144,0.01047
Spain,0.00045,0.17705,0.35796,0.08067,0,0.0549,0.12165,0.06944,0.13788
Sweden,0.49144,0.39652,0.06497,0.02676,0,0.00606,0.00458,0.00612,0.00355
Switzerland,0.0613,0.36151,0.29033,0.17968,0,0.03212,0.02649,0.02681,0.02176
Tunisia,0.52699,0.39087,0.0497,0.01869,0,0.00487,0.00277,0.00413,0.00198
Turkey,0.12543,0.25629,0.28478,0.20198,0,0.03584,0.03529,0.03022,0.03017
United States,0.48964,0.29748,0.14286,0.04696,0,0.00887,0.00601,0.00477,0.00341
Uruguay,0.05542,0.62668,0.13805,0.08469,0,0.02877,0.0231,0.02486,0.01843
Uzbekistan,0.51951,0.33891,0.08112,0.0374,0,0.00886,0.00591,0.00509,0.0032
