team,Group_stage,Round_of_32,Round_of_16,Quarterfinals,Semifinals,Fourth_place,Third_place,Second_place,Champion
Algeria,0.05204,0.65022,0.16696,0.10254,0,0.01092,0.00776,0.00559,0.00397
Argentina,0.0,0.0967,0.11835,0.2038,0,0.12591,0.14075,0.14939,0.1651
Australia,0.04282,0.63821,0.23129,0.04873,0,0.01243,0.00942,0.00953,0.00757
Austria,0.00649,0.75259,0.14555,0.05939,0,0.01185,0.01047,0.00761,0.00605
Belgium,0.10918,0.44339,0.3116,0.08938,0,0.01603,0.01071,0.01169,0.00802
Bosnia and Herzegovina,0.38548,0.48978,0.06727,0.05295,0,0.00187,0.00183,0.00042,0.0004
Brazil,0.0,0.46177,0.21194,0.13707,0,0.0454,0.04594,0.04844,0.04944
Canada,0.0,0.48647,0.27698,0.14011,0,0.02834,0.02454,0.02414,0.01942
Cape Verde,0.4941,0.47534,0.01835,0.00775,0,0.00289,0.00076,0.00063,0.00018
Colombia,0.0,0.1976,0.37504,0.23283,0,0.04603,0.04861,0.05077,0.04912
Croatia,3e-05,0.41788,0.29183,0.15794,0,0.03943,0.03031,0.03755,0.02503
Curacao,0.86894,0.08175,0.04562,0.00235,0,0.00071,7e-05,0.00052,4e-05
Czech Republic,0.82419,0.09829,0.04498,0.0262,0,0.00243,0.00175,0.00118,0.00098
DR Congo,0.67662,0.26267,0.0456,0.01171,0,0.0013,0.0004,0.00141,0.00029
Ecuador,0.71628,0.14411,0.0647,0.04501,0,0.00895,0.0072,0.00761,0.00614
Egypt,0.0,0.56556,0.28418,0.12286,0,0.01106,0.00792,0.00522,0.0032
England,0.0,0.40507,0.28047,0.09759,0,0.04654,0.05944,0.05057,0.06032
France,0.0,0.18361,0.37671,0.1932,0,0.03936,0.05948,0.05953,0.08811
Germany,0.0,0.27191,0.36654,0.17365,0,0.04171,0.04782,0.04732,0.05105
Ghana,0.00077,0.93037,0.05492,0.01117,0,0.00126,0.00089,0.00043,0.00019
Haiti,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Iran,0.438,0.3164,0.13912,0.08554,0,0.00852,0.0056,0.00402,0.0028
Iraq,0.98606,0.01169,0.00166,0.00051,0,2e-05,4e-05,2e-05,0.0
Ivory Coast,0.08658,0.50459,0.31759,0.05031,0,0.01588,0.00547,0.01498,0.0046
Japan,0.0,0.49747,0.21888,0.13533,0,0.03734,0.03548,0.03903,0.03647
Jordan,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Mexico,0.0,0.40091,0.28063,0.18118,0,0.04207,0.03018,0.03985,0.02518
Morocco,0.0,0.55843,0.18627,0.12709,0,0.03807,0.02832,0.03727,0.02455
Netherlands,0.0,0.47736,0.20197,0.14051,0,0.04734,0.04246,0.04829,0.04207
New Zealand,0.88921,0.09321,0.01515,0.00212,0,0.00019,4e-05,6e-05,2e-05
Norway,0.0,0.40005,0.3058,0.12868,0,0.04275,0.03822,0.04539,0.03911
Panama,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Paraguay,0.038,0.50819,0.36705,0.04597,0,0.01485,0.00929,0.01041,0.00624
Portugal,0.0,0.32872,0.32103,0.14272,0,0.04946,0.05341,0.05069,0.05397
Qatar,0.86098,0.12646,0.00675,0.00564,0,0.00011,5e-05,1e-05,0.0
Saudi Arabia,0.71039,0.27317,0.00985,0.00461,0,0.00138,0.00028,0.00024,8e-05
Scotland,0.05704,0.65114,0.15058,0.0899,0,0.01699,0.0108,0.01468,0.00887
Senegal,0.32928,0.40271,0.14158,0.08642,0,0.01392,0.00896,0.01099,0.00614
South Africa,0.85133,0.08872,0.03334,0.01419,0,0.00365,0.00307,0.00297,0.00273
South Korea,0.06809,0.47559,0.24957,0.11583,0,0.02618,0.02269,0.02292,0.01913
Spain,0.0,0.17834,0.366,0.06519,0,0.06165,0.11913,0.07461,0.13508
Sweden,0.37959,0.52372,0.05894,0.02274,0,0.00461,0.00362,0.00367,0.00311
Switzerland,0.0,0.35772,0.33062,0.21635,0,0.02908,0.0223,0.02571,0.01822
Tunisia,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Turkey,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
United States,0.0,0.24973,0.33888,0.32191,0,0.03077,0.02724,0.01669,0.01478
Uruguay,0.20333,0.46184,0.16942,0.09817,0,0.02033,0.01716,0.01761,0.01214
Uzbekistan,0.92518,0.06055,0.01044,0.00286,0,0.00042,0.00012,0.00034,9e-05
