"match","home_team","away_team","elo_prob_home","result_home","advances","to_match","loses","penalties","stage","forecast_edge"
"0","Czech Republic","Canada","","","Canada","16","Czech Republic","","round_of_32","0.08913"
"1","Germany","Scotland","","","Germany","17","Scotland","","round_of_32","0.39053"
"2","Netherlands","Morocco","","","Netherlands","16","Morocco","","round_of_32","0.16594"
"3","Brazil","Japan","","","Brazil","18","Japan","","round_of_32","0.25288"
"4","France","Saudi Arabia","","","France","17","Saudi Arabia","","round_of_32","0.72284"
"5","Ecuador","Norway","","","Ecuador","18","Norway","","round_of_32","0.19878"
"6","Mexico","Ivory Coast","","","Mexico","19","Ivory Coast","","round_of_32","0.47786"
"7","England","Uzbekistan","","","England","19","Uzbekistan","","round_of_32","0.5546"
"8","Turkey","Bosnia and Herzegovina","","","Turkey","21","Bosnia and Herzegovina","","round_of_32","0.5048"
"9","Belgium","Senegal","","","Belgium","21","Senegal","","round_of_32","0.21542"
"10","Colombia","Croatia","","","Colombia","20","Croatia","","round_of_32","0.16377"
"11","Spain","Austria","","","Spain","20","Austria","","round_of_32","0.61874"
"12","Switzerland","Algeria","","","Switzerland","23","Algeria","","round_of_32","0.43626"
"13","Argentina","Uruguay","","","Argentina","22","Uruguay","","round_of_32","0.40246"
"14","Portugal","Panama","","","Portugal","23","Panama","","round_of_32","0.53768"
"15","Paraguay","Iran","","","Paraguay","22","Iran","","round_of_32","0.0313099999999999"
"16","Canada","Netherlands","","","Netherlands","24","Canada","","round_of_16","0.03643"
"17","Germany","France","","","France","24","Germany","","round_of_16","0.10338"
"18","Brazil","Ecuador","","","Brazil","26","Ecuador","","round_of_16","0.09611"
"19","Mexico","England","","","England","26","Mexico","","round_of_16","0.06594"
"20","Colombia","Spain","","","Spain","25","Colombia","","round_of_16","0.14935"
"21","Turkey","Belgium","","","Turkey","25","Belgium","","round_of_16","0.07116"
"22","Argentina","Paraguay","","","Argentina","27","Paraguay","","round_of_16","0.43307"
"23","Switzerland","Portugal","","","Portugal","27","Switzerland","","round_of_16","0.08466"
"24","Netherlands","France","","","France","28","Netherlands","","quarterfinals","0.08171"
"25","Spain","Turkey","","","Spain","28","Turkey","","quarterfinals","0.25235"
"26","Brazil","England","","","Brazil","29","England","","quarterfinals","0.04118"
"27","Argentina","Portugal","","","Argentina","29","Portugal","","quarterfinals","0.27709"
"28","France","Spain","","","Spain","30","France","","semifinals","0.07195"
"29","Brazil","Argentina","","","Argentina","30","Brazil","","semifinals","0.1125"
"30","Spain","Argentina","","","Spain","31","Argentina","","final","0.00923000000000002"
"31","France","Brazil","","","France","31","Brazil","","third_place","0.01514"
