"group","team","group_rank","slot_probability","qualified_as_third_probability"
"A","Mexico","1","0.62104",""
"A","Czech Republic","2","0.37213",""
"B","Switzerland","1","0.49203",""
"B","Canada","2","0.41668",""
"B","Bosnia and Herzegovina","3","0.5013","0.33126"
"C","Brazil","1","0.71279",""
"C","Morocco","2","0.43945",""
"C","Scotland","3","0.47184","0.30067"
"D","Turkey","1","0.50744",""
"D","Paraguay","2","0.30072",""
"E","Germany","1","0.52366",""
"E","Ecuador","2","0.42646",""
"E","Ivory Coast","3","0.6697","0.24588"
"F","Netherlands","1","0.54174",""
"F","Japan","2","0.36842",""
"G","Belgium","1","0.59549",""
"G","Iran","2","0.39544",""
"H","Spain","1","0.8748",""
"H","Uruguay","2","0.70086",""
"H","Saudi Arabia","3","0.46667","0.24189"
"I","France","1","0.73451",""
"I","Norway","2","0.40425",""
"I","Senegal","3","0.39292","0.346"
"J","Argentina","1","0.82448",""
"J","Austria","2","0.44291",""
"J","Algeria","3","0.37158","0.25383"
"K","Portugal","1","0.64673",""
"K","Colombia","2","0.51868",""
"K","Uzbekistan","3","0.54621","0.29091"
"L","England","1","0.68705",""
"L","Croatia","2","0.48861",""
"L","Panama","3","0.53985","0.34054"
