group,team,expected_group_points,avg_rating_after_group,win_group,finish_second,finish_third,make_round_of_32,make_round_of_16,make_quarterfinals,make_semifinals,make_final,win_tournament
H,Spain,7.13354,2141.1333305321577,0.8748,0.11951,0.00542,0.99955,0.8225,0.46454,0.38387,0.20732,0.13788
J,Argentina,6.39372,2095.432348661858,0.82448,0.12943,0.03755,0.98667,0.72036,0.60006,0.45475,0.24442,0.12865
I,France,6.45589,2055.3626196353725,0.73451,0.1902,0.06677,0.98771,0.77409,0.41581,0.22842,0.13537,0.07979
C,Brazil,6.25414,1979.8046438184494,0.71279,0.19647,0.0802,0.98413,0.64798,0.39366,0.24158,0.13192,0.06465
L,England,6.04179,2008.008528314545,0.68705,0.21601,0.09112,0.989,0.69618,0.37447,0.2004,0.109,0.05389
K,Portugal,6.45851,1991.0863416473537,0.64673,0.26836,0.07051,0.97832,0.70083,0.37152,0.17766,0.08981,0.04446
K,Colombia,5.23958,1969.3707778690646,0.30866,0.51868,0.14421,0.95044,0.61488,0.31519,0.17122,0.08611,0.04414
E,Germany,6.5435,1934.1843850947287,0.52366,0.39147,0.07996,0.99141,0.63405,0.31243,0.16569,0.08657,0.04303
E,Ecuador,5.53361,1925.0590709561577,0.4451,0.42646,0.12094,0.98536,0.60553,0.29755,0.15611,0.08027,0.03851
F,Netherlands,5.18977,1931.455187578888,0.54174,0.25205,0.15355,0.91891,0.51326,0.27451,0.14671,0.07634,0.03774
D,Turkey,5.18249,1904.253881868987,0.50744,0.23944,0.16276,0.87457,0.61828,0.3335,0.13152,0.06039,0.03017
A,Mexico,5.98099,1869.1587300995689,0.62104,0.2451,0.11196,0.96573,0.63242,0.30853,0.13101,0.06386,0.02745
L,Croatia,4.93642,1900.4792253280714,0.25105,0.48861,0.23178,0.94757,0.45111,0.22407,0.11108,0.05335,0.02473
F,Japan,4.62427,1890.2038831807527,0.31749,0.36842,0.21713,0.85037,0.3951,0.20461,0.10591,0.05335,0.02465
I,Norway,3.90887,1906.525774743815,0.13118,0.40425,0.37334,0.77901,0.40675,0.19692,0.09919,0.05077,0.02229
B,Switzerland,5.34876,1868.6903373962505,0.49203,0.36789,0.1195,0.9387,0.57719,0.28686,0.10718,0.04857,0.02176
H,Uruguay,4.8976,1892.714890558375,0.11948,0.70086,0.15526,0.94458,0.3179,0.17985,0.09516,0.04329,0.01843
G,Belgium,5.4242,1876.9643282506731,0.59549,0.23598,0.12074,0.92203,0.59295,0.26234,0.09067,0.0397,0.01839
C,Morocco,4.48808,1824.0984212148214,0.18802,0.43945,0.29139,0.87064,0.34732,0.17583,0.08209,0.03969,0.01649
I,Senegal,4.057,1859.8203698690133,0.12787,0.35104,0.39292,0.82491,0.37753,0.17151,0.07707,0.0376,0.01558
B,Canada,5.92226,1791.4316956717091,0.442,0.41668,0.11373,0.95592,0.50437,0.23808,0.08138,0.03352,0.01442
A,Czech Republic,4.74154,1750.4617411790618,0.21869,0.37213,0.31587,0.85313,0.41524,0.18295,0.06711,0.03087,0.01333
D,Paraguay,3.94874,1827.1849105884087,0.23179,0.30072,0.258,0.71035,0.409,0.16699,0.06319,0.02659,0.01226
A,South Korea,3.57192,1741.7408248591714,0.14732,0.32093,0.38662,0.65471,0.32446,0.14307,0.05348,0.02487,0.01047
C,Scotland,3.6491,1784.9153871144,0.0908,0.30639,0.47184,0.69786,0.24352,0.11829,0.05116,0.02371,0.00985
J,Austria,3.72845,1825.2648016538935,0.09686,0.44291,0.28192,0.74625,0.20376,0.09743,0.04128,0.01665,0.0069
D,Australia,3.63571,1781.8663689178077,0.15911,0.26766,0.31228,0.65724,0.3193,0.11379,0.04045,0.01594,0.00666
G,Iran,4.49217,1767.436634411686,0.26296,0.39544,0.22471,0.83063,0.37769,0.11627,0.03415,0.01154,0.00452
L,Panama,3.47562,1746.6254353464246,0.05832,0.26497,0.53985,0.66383,0.16315,0.07078,0.02618,0.00907,0.00373
F,Sweden,2.77147,1709.0566141069514,0.08377,0.1819,0.31111,0.50856,0.11204,0.04707,0.02031,0.00967,0.00355
D,United States,3.06028,1734.6948386247966,0.10166,0.19218,0.26696,0.51036,0.21288,0.07002,0.02306,0.00818,0.00341
K,Uzbekistan,2.78535,1723.59538839254,0.03403,0.15555,0.54621,0.48049,0.14158,0.06046,0.02306,0.00829,0.0032
J,Algeria,2.80897,1768.2367383954104,0.04262,0.22546,0.37158,0.52191,0.14093,0.06281,0.02025,0.00758,0.00292
B,Bosnia and Herzegovina,2.90966,1592.3474331013688,0.05623,0.15284,0.5013,0.54033,0.11348,0.05246,0.01356,0.00487,0.00232
F,Tunisia,3.05328,1663.2843151334077,0.057,0.19763,0.31821,0.47301,0.08214,0.03244,0.01375,0.00611,0.00198
E,Ivory Coast,2.8178,1691.1840153532535,0.03041,0.16996,0.6697,0.44625,0.15456,0.05019,0.01553,0.00726,0.00198
A,South Africa,1.71091,1528.6387038621976,0.01295,0.06184,0.18555,0.17643,0.04905,0.01854,0.00716,0.00328,0.0014
G,Egypt,3.11567,1691.2861700754947,0.09666,0.22225,0.37364,0.53599,0.18319,0.05181,0.01241,0.00342,0.00116
J,Jordan,2.89517,1708.0661112888374,0.03604,0.2022,0.30895,0.44903,0.09596,0.04026,0.01085,0.00285,0.00097
K,DR Congo,1.67054,1652.947492091042,0.01058,0.05741,0.23907,0.24881,0.05389,0.0205,0.00714,0.00208,0.0008
B,Qatar,1.93086,1442.5305338306716,0.00974,0.06259,0.26547,0.20501,0.0217,0.01047,0.00254,0.0011,0.00045
C,Haiti,1.54581,1559.1815478523292,0.00839,0.05769,0.15657,0.15128,0.02137,0.00871,0.00256,0.00117,0.0004
I,Iraq,1.57778,1622.2912357517994,0.00644,0.05451,0.16697,0.15822,0.02957,0.00791,0.00204,0.00091,0.00018
H,Saudi Arabia,2.41555,1592.8798513965032,0.00382,0.11237,0.46667,0.35808,0.05125,0.01951,0.0039,0.00135,0.00017
H,Cape Verde,1.63047,1576.2719275129643,0.0019,0.06726,0.37265,0.23908,0.03228,0.01231,0.00234,0.00064,0.00013
G,New Zealand,2.6639,1588.3128672621463,0.04489,0.14633,0.28091,0.36317,0.07882,0.01886,0.00273,0.00049,0.00012
L,Ghana,1.31225,1520.886811010959,0.00358,0.03041,0.13725,0.10602,0.0087,0.00251,0.00091,0.00017,4e-05
E,Curacao,1.19059,1448.57252859586,0.00083,0.01211,0.1294,0.06844,0.00991,0.00175,0.00023,0.00012,0.0
