group,team,expected_group_points,avg_rating_after_group,win_group,finish_second,finish_third,make_round_of_32,make_round_of_16,make_quarterfinals,make_semifinals,make_final,win_tournament
J,Argentina,6.66097,2105.416907045647,0.76421,0.17473,0.05395,0.99287,0.72358,0.59963,0.45452,0.24384,0.1316
H,Spain,5.22014,2113.888637113132,0.81303,0.15131,0.03387,0.99008,0.75694,0.43296,0.35795,0.19196,0.12262
I,France,7.24103,2075.188960702979,0.80391,0.19232,0.00322,0.99943,0.79715,0.43054,0.23896,0.14878,0.09105
L,England,7.11421,2035.1728738447994,0.96423,0.03363,0.0018,0.99965,0.7945,0.43134,0.22989,0.13075,0.06471
C,Brazil,5.18939,1967.8248386931414,0.47497,0.37065,0.14679,0.97849,0.58954,0.35189,0.20296,0.11085,0.05656
K,Portugal,4.69061,1968.8652363879662,0.24736,0.6025,0.12347,0.90906,0.62495,0.32098,0.19354,0.09631,0.04996
K,Colombia,7.117,2000.2804698579612,0.7392,0.22388,0.03584,0.99835,0.75108,0.39917,0.19239,0.09758,0.04785
E,Germany,6.61593,1937.7812578099865,0.67441,0.23032,0.09497,0.99765,0.63204,0.31256,0.16479,0.08812,0.04498
F,Netherlands,4.47822,1925.5466661304047,0.51173,0.23488,0.21011,0.88935,0.4604,0.25417,0.13202,0.07053,0.03495
I,Norway,5.88156,1939.5801834025092,0.18839,0.6405,0.17079,0.99525,0.53991,0.26961,0.14339,0.07515,0.03461
A,Mexico,6.16004,1870.898545595699,0.64963,0.25629,0.08945,0.99031,0.64272,0.31294,0.14007,0.06692,0.02865
F,Japan,4.25709,1891.5766395175253,0.21959,0.38918,0.31725,0.81451,0.35228,0.19127,0.1001,0.05096,0.02341
E,Ecuador,4.08934,1894.3742544923937,0.18974,0.13976,0.64159,0.92332,0.44675,0.22595,0.09938,0.04951,0.02218
C,Morocco,4.94932,1839.2587048052217,0.22689,0.42163,0.31677,0.91323,0.39756,0.20521,0.09781,0.04764,0.02049
A,South Korea,5.22533,1768.1452164753928,0.26162,0.62173,0.07956,0.95619,0.52692,0.24178,0.10183,0.0466,0.02043
L,Croatia,3.96819,1870.3632094072157,0.01049,0.72533,0.19288,0.83959,0.32592,0.15626,0.08992,0.03949,0.01938
B,Switzerland,5.2363,1867.7137714782846,0.69129,0.18513,0.11196,0.91401,0.57628,0.28158,0.09803,0.04358,0.0186
H,Uruguay,4.53528,1888.3039432462385,0.15743,0.67452,0.14842,0.90121,0.30599,0.1733,0.09427,0.0422,0.01839
C,Scotland,5.35069,1808.5345655848687,0.29689,0.20334,0.49932,0.97942,0.39228,0.19642,0.08835,0.04325,0.01731
D,Australia,5.74195,1831.8894684103168,0.53252,0.32471,0.10653,0.95276,0.60258,0.27422,0.09231,0.03782,0.01703
G,Belgium,4.21441,1861.8937248075813,0.54338,0.21061,0.16666,0.82354,0.5271,0.2421,0.08394,0.03538,0.01635
B,Canada,4.54393,1768.4572909376313,0.25221,0.5527,0.16747,0.88947,0.43456,0.20398,0.07605,0.03348,0.01463
J,Austria,4.70927,1848.2453844393285,0.09074,0.40121,0.46498,0.93801,0.32935,0.16218,0.06458,0.02612,0.01161
D,Turkey,3.21603,1839.7356684103167,0.10436,0.27762,0.31453,0.57536,0.32377,0.1253,0.05388,0.0239,0.01053
F,Sweden,4.30443,1751.9951343268654,0.26026,0.28221,0.39889,0.79823,0.22618,0.10584,0.04838,0.02334,0.00977
D,United States,5.3312,1783.3929315896833,0.32451,0.3092,0.31851,0.91928,0.45663,0.18101,0.05745,0.02133,0.00909
I,Senegal,3.38218,1840.623582542918,0.00728,0.16602,0.75155,0.70839,0.23363,0.11014,0.04491,0.02083,0.00812
E,Ivory Coast,4.8071,1722.0642342156261,0.13566,0.62285,0.19099,0.93756,0.38974,0.11866,0.04851,0.02228,0.00669
A,Czech Republic,3.37259,1724.5363269406826,0.08305,0.08924,0.66858,0.62585,0.26088,0.10451,0.02922,0.01164,0.00474
D,Paraguay,2.31068,1782.9819315896832,0.03861,0.08847,0.26043,0.32567,0.13421,0.05189,0.02121,0.00906,0.00405
J,Algeria,5.5675,1758.904948002295,0.13482,0.42084,0.27013,0.82578,0.21,0.09407,0.03372,0.01091,0.00385
B,Bosnia and Herzegovina,3.5144,1615.387632671036,0.0495,0.20375,0.59235,0.66856,0.1624,0.07501,0.0184,0.00693,0.00341
G,Iran,3.17788,1751.845602685054,0.1971,0.25682,0.26061,0.53434,0.25303,0.08459,0.02459,0.00802,0.0033
K,DR Congo,2.52817,1673.4630203233817,0.01152,0.09449,0.51102,0.34917,0.07787,0.03276,0.01304,0.00369,0.00176
G,Egypt,3.62022,1705.5816150206688,0.17206,0.32557,0.22103,0.62776,0.24218,0.06604,0.01767,0.00453,0.00168
K,Uzbekistan,1.68606,1694.3912734306907,0.00192,0.07913,0.32967,0.1858,0.0516,0.02302,0.0105,0.00341,0.00147
L,Panama,2.10833,1716.8501882088112,0.01806,0.09546,0.13376,0.20551,0.04718,0.0203,0.00789,0.00249,0.00097
A,South Africa,1.56989,1526.4199109882259,0.0057,0.03274,0.16241,0.10867,0.03046,0.01047,0.00393,0.00173,0.00076
F,Tunisia,2.05402,1624.8815600252044,0.00842,0.09373,0.07375,0.16198,0.02428,0.00987,0.00413,0.0019,0.00049
J,Jordan,2.17542,1684.4327605127296,0.01023,0.00322,0.21094,0.21866,0.06462,0.02912,0.0057,0.00164,0.00047
H,Cape Verde,2.72448,1604.1103010154047,0.02582,0.10422,0.5513,0.39992,0.07217,0.02652,0.00597,0.00177,0.00047
B,Qatar,1.87406,1443.4413049130478,0.007,0.05842,0.12822,0.16927,0.01893,0.00877,0.0019,0.00088,0.00042
H,Saudi Arabia,2.35163,1596.697118625225,0.00372,0.06995,0.26641,0.32134,0.05308,0.02012,0.00399,0.00153,0.0002
G,New Zealand,3.18654,1604.6790574866961,0.08746,0.207,0.3517,0.38062,0.10148,0.02072,0.00382,0.00073,0.0002
L,Ghana,3.32519,1553.613728539174,0.00722,0.14558,0.67156,0.30511,0.0259,0.00896,0.0036,0.00043,0.00015
C,Haiti,0.38001,1532.381890916768,0.00125,0.00438,0.03712,0.01216,0.00214,0.00092,0.0003,0.00013,4e-05
E,Curacao,1.12407,1444.7802534819937,0.00019,0.00707,0.07245,0.02038,0.00429,0.00061,0.00013,6e-05,1e-05
I,Iraq,0.46473,1588.6072733515937,0.00042,0.00116,0.07444,0.02888,0.00297,0.00074,0.00011,2e-05,1e-05
