group,date,home_team,away_team,elo_prob_home,result_home
A,1,Mexico,South Africa,,
A,2,South Korea,Czech Republic,,
B,3,Canada,Bosnia and Herzegovina,,
D,4,United States,Paraguay,,
C,5,Haiti,Scotland,,
D,6,Australia,Turkey,,
C,7,Brazil,Morocco,,
B,8,Qatar,Switzerland,,
E,9,Ivory Coast,Ecuador,,
E,10,Germany,Curacao,,
F,11,Netherlands,Japan,,
F,12,Sweden,Tunisia,,
H,13,Saudi Arabia,Uruguay,,
H,14,Spain,Cape Verde,,
G,15,Iran,New Zealand,,
G,16,Belgium,Egypt,,
I,17,France,Senegal,,
I,18,Iraq,Norway,,
J,19,Argentina,Algeria,,
J,20,Austria,Jordan,,
L,21,Ghana,Panama,,
L,22,England,Croatia,,
K,23,Portugal,DR Congo,,
K,24,Uzbekistan,Colombia,,
A,25,Czech Republic,South Africa,,
B,26,Switzerland,Bosnia and Herzegovina,,
B,27,Canada,Qatar,,
A,28,Mexico,South Korea,,
C,29,Brazil,Haiti,,
C,30,Scotland,Morocco,,
D,31,Turkey,Paraguay,,
D,32,United States,Australia,,
E,33,Germany,Ivory Coast,,
E,34,Ecuador,Curacao,,
F,35,Netherlands,Sweden,,
F,36,Tunisia,Japan,,
H,37,Uruguay,Cape Verde,,
H,38,Spain,Saudi Arabia,,
G,39,Belgium,Iran,,
G,40,New Zealand,Egypt,,
I,41,Norway,Senegal,,
I,42,France,Iraq,,
J,43,Argentina,Austria,,
J,44,Jordan,Algeria,,
L,45,England,Ghana,,
L,46,Panama,Croatia,,
K,47,Portugal,Uzbekistan,,
K,48,Colombia,DR Congo,,
C,49,Scotland,Brazil,,
C,50,Morocco,Haiti,,
B,51,Switzerland,Canada,,
B,52,Bosnia and Herzegovina,Qatar,,
A,53,Czech Republic,Mexico,,
A,54,South Africa,South Korea,,
E,55,Curacao,Ivory Coast,,
E,56,Ecuador,Germany,,
F,57,Japan,Sweden,,
F,58,Tunisia,Netherlands,,
D,59,Turkey,United States,,
D,60,Paraguay,Australia,,
I,61,Norway,France,,
I,62,Senegal,Iraq,,
G,63,Egypt,Iran,,
G,64,New Zealand,Belgium,,
H,65,Cape Verde,Saudi Arabia,,
H,66,Uruguay,Spain,,
L,67,Panama,England,,
L,68,Croatia,Ghana,,
J,69,Algeria,Austria,,
J,70,Jordan,Argentina,,
K,71,Colombia,Portugal,,
K,72,DR Congo,Uzbekistan,,
