group,team,rating
H,Spain,2157
J,Argentina,2115
I,France,2063
L,England,2024
C,Brazil,1991
K,Portugal,1989
K,Colombia,1982
F,Netherlands,1948
E,Ecuador,1938
E,Germany,1932
I,Norway,1914
L,Croatia,1912
D,Turkey,1911
F,Japan,1906
G,Belgium,1894
H,Uruguay,1892
B,Switzerland,1891
A,Mexico,1875
I,Senegal,1860
D,Paraguay,1834
J,Austria,1830
C,Morocco,1827
B,Canada,1788
C,Scotland,1782
D,Australia,1777
J,Algeria,1772
G,Iran,1772
A,South Korea,1758
A,Czech Republic,1740
L,Panama,1730
D,United States,1726
K,Uzbekistan,1714
F,Sweden,1712
G,Egypt,1696
E,Ivory Coast,1695
J,Jordan,1680
K,DR Congo,1652
F,Tunisia,1628
I,Iraq,1607
B,Bosnia and Herzegovina,1595
H,Cape Verde,1578
H,Saudi Arabia,1576
G,New Zealand,1562
C,Haiti,1548
A,South Africa,1517
L,Ghana,1510
E,Curacao,1434
B,Qatar,1421
